F,検索・置換
↩,編集モードにする
⌘⇧F,コマンドパレットを開く
⌘⇧P,コマンドパレットを開く
P,コマンドパレットを開く
⇧↩,セルを実行し、下のセルに移動する
⌃↩,セルを実行する
⌥↩,セルを実行し、下にセルを追加する
Y,コードセルにする
M,マークダウンセルにする
R,rawセルにする
1,見出し１にする
2,見出し２にする
3,見出し３にする
4,見出し４にする
5,見出し５にする
6,見出し６にする
K,上のセルを選択する
↑,上のセルを選択する
↓,下のセルを選択する
J,下のセルを選択する
⇧K,上のセルと結合する
⇧↑,上のセルと結合する
⇧↓,下のセルと結合する
⇧J,下のセルと結合する
A,上にセルを追加する
B,下にセルを追加する
X,選択しているセルを切り取り
C,選択しているセルをコピー
⇧V,上に貼り付け
V,下に貼り付け
Z,セルの削除をやり直す
D→D,選択しているセルを削除する
⇧M,セルのマージ(選択してないなら下のセルと)
⌘S,保存する
S,保存する
L,行番号の表示・非表示
O,セルの出力結果の表示・非表示
⇧O,出力結果スクロール・非スクロール
H,キーボードショートカット表示
I→I,カーネルをインタラプト
0,カーネルを再起動
Esc,ページャーを閉じる
Q,ページャーを閉じる
⇧L,全てのセルの行番号の表示・非表示
⇧␣,上にスクロール
␣,下にスクロール
⇥,コード補完・タブ
⇧⇥,ツールチップ
⌘],インデント
⌘[,ディデント
⌘A,全選択
⌘Z,やり直し
⌘/,コメントアウト
⌘D,行を削除する
⌘U,洗濯を取り消す
Insert,上書きするかどうか切り替える
⌘↑,セルの最後に移動
⌘↓,セルの最後に移動
⌥←,一単語前に移動
⌥→,一単語後に移動
⌥⌫,前の単語を削除
⌥⌦,後の単語を削除
⌘⇧Z,やり直し
⌘⇧U,選択をやり直し
⌃K,emacs-styleのline kill
⌘⌫,カーソルより左を消す
⌘⌦,カーソルより右を消す
⌃M,コマンドモードにする
Esc,コマンドモードにする
⌘⇧F,コマンドパレットを開く
⌘⇧P,コマンドパレットを開く
⇧↩,セルを実行し、下のセルを選択する
⌃↩,セルを実行する
⌥↩,セルを実行し、下にセルを挿入する
⌃⇧Minus,セルを分割する
⌘S,保存する
↓,下にカーソルを移動する
↑,上にカーソルを移動する
